,Gender,Race,Year,pct,CrimeType,Arrested,Frisked,Searched,HandCuff,PepperSpray,Firearm,Other,CEW,Stopped,Verbal,Summons
1,Male,Black,2005,1,Assault,0,1,0,0,0,0,1,0,2,0,0
21892,Female,Black,2005,1,Theft,0,0,0,0,0,0,0,0,1,0,0
21893,Male,Black,2005,1,Theft,0,3,0,0,0,0,2,0,6,0,0
21894,Male,Hispanic,2005,1,Theft,0,0,0,0,0,0,0,0,1,0,0
21895,Male,Other,2005,1,Theft,0,0,0,0,0,0,0,0,1,0,0
21896,Male,White,2005,1,Theft,0,0,0,0,0,0,0,0,2,0,0
31664,Male,Black,2005,1,Tresspass,0,0,0,0,0,0,0,0,1,0,0
31665,Male,Hispanic,2005,1,Tresspass,0,0,0,0,0,0,0,0,1,0,0
38712,Male,Black,2005,1,Weapon,1,3,1,0,0,0,1,0,5,0,0
38713,Male,White,2005,1,Weapon,0,1,0,0,0,0,0,0,1,0,0
80,Female,Hispanic,2005,5,Assault,1,1,1,0,0,0,0,0,1,0,0
81,Male,Hispanic,2005,5,Assault,0,0,0,0,0,0,0,0,1,0,0
82,Male,Other,2005,5,Assault,0,2,0,0,0,0,1,0,3,0,1
7393,Female,Hispanic,2005,5,Other,1,1,1,0,0,0,0,0,1,0,0
7394,Female,Other,2005,5,Other,0,0,0,1,0,0,0,0,2,0,0
7395,Male,Other,2005,5,Other,0,1,0,1,0,0,0,0,3,0,0
7396,Unknown,Other,2005,5,Other,0,0,0,0,0,0,0,0,1,0,0
7397,Male,White,2005,5,Other,0,0,0,0,0,0,0,0,1,0,0
7398,Unknown,White,2005,5,Other,0,0,0,0,0,0,0,0,1,0,0
14776,Female,Black,2005,5,Substance,0,0,0,0,0,0,0,0,2,0,0
14777,Male,Black,2005,5,Substance,1,1,1,1,0,0,1,0,3,0,0
14778,Female,Hispanic,2005,5,Substance,0,0,0,0,0,0,0,0,1,0,0
14779,Male,Hispanic,2005,5,Substance,0,0,0,0,0,0,0,0,1,0,0
22008,Female,Black,2005,5,Theft,0,1,0,0,0,0,0,0,1,0,0
22009,Male,Black,2005,5,Theft,0,10,1,1,0,0,1,0,14,0,1
22010,Male,Hispanic,2005,5,Theft,0,8,1,2,0,0,2,0,9,0,0
22011,Male,Other,2005,5,Theft,0,4,0,0,0,0,2,0,11,0,2
22012,Unknown,Other,2005,5,Theft,0,1,0,0,0,0,0,0,1,0,0
22013,Female,White,2005,5,Theft,0,1,0,0,0,0,0,0,2,0,0
22014,Male,White,2005,5,Theft,1,3,1,0,0,0,0,0,7,0,0
31721,Female,Black,2005,5,Tresspass,1,1,0,1,0,0,1,0,3,0,0
31722,Male,Black,2005,5,Tresspass,5,1,4,1,0,0,0,0,22,0,0
31723,Female,Hispanic,2005,5,Tresspass,0,0,0,0,0,0,1,0,3,0,0
31724,Male,Hispanic,2005,5,Tresspass,4,4,3,3,0,0,1,0,15,0,0
31725,Male,White,2005,5,Tresspass,1,1,1,0,0,0,0,0,2,0,0
38790,Male,Black,2005,5,Weapon,0,6,2,0,0,0,0,0,7,0,0
38791,Male,Hispanic,2005,5,Weapon,1,2,2,1,0,0,1,0,2,0,0
38792,Male,Other,2005,5,Weapon,0,2,1,0,0,0,0,0,2,0,0
38793,Male,White,2005,5,Weapon,0,2,0,0,0,0,0,0,2,0,0
22139,Male,Black,2005,6,Theft,0,3,0,0,0,0,5,0,6,0,0
22140,Male,White,2005,6,Theft,0,0,0,1,0,0,0,0,1,0,0
38892,Male,Hispanic,2005,6,Weapon,0,1,0,0,0,0,1,0,1,0,0
287,Male,Black,2005,7,Assault,0,2,0,0,0,0,1,0,3,0,0
288,Female,Hispanic,2005,7,Assault,0,1,0,0,0,0,0,0,1,0,0
289,Male,Hispanic,2005,7,Assault,1,2,1,0,0,0,1,0,3,0,0
290,Male,Other,2005,7,Assault,0,0,0,0,0,0,0,0,1,0,0
291,Male,White,2005,7,Assault,0,1,0,0,0,0,0,0,3,0,0
7602,Female,Black,2005,7,Other,0,0,0,0,0,0,0,0,1,0,0
7603,Male,Black,2005,7,Other,1,3,1,0,0,0,0,0,5,0,0
7604,Unknown,Black,2005,7,Other,1,1,0,0,0,0,0,0,1,0,1
7605,Male,Hispanic,2005,7,Other,0,2,1,1,0,0,0,0,2,0,0
7606,Female,White,2005,7,Other,0,1,0,0,0,0,0,0,1,0,0
7607,Male,White,2005,7,Other,1,3,2,3,0,0,0,0,5,0,1
14956,Female,Black,2005,7,Substance,0,1,0,0,0,0,0,0,1,0,0
14957,Male,Black,2005,7,Substance,1,10,0,1,0,0,1,0,18,0,0
14958,Female,Hispanic,2005,7,Substance,1,3,1,1,0,0,0,0,5,0,0
14959,Male,Hispanic,2005,7,Substance,2,10,2,0,0,0,2,0,12,0,1
14960,Male,Other,2005,7,Substance,0,1,1,0,0,0,0,0,2,0,0
14961,Male,White,2005,7,Substance,1,1,1,0,0,0,1,0,2,0,0
22268,Female,Black,2005,7,Theft,0,2,0,0,0,0,0,0,8,0,0
22269,Male,Black,2005,7,Theft,3,16,5,0,0,0,2,0,28,0,1
22270,Female,Hispanic,2005,7,Theft,0,2,1,0,0,0,0,0,3,0,0
22271,Male,Hispanic,2005,7,Theft,4,13,5,0,0,0,1,0,27,0,1
22272,Male,Other,2005,7,Theft,0,7,3,0,0,0,0,0,10,0,1
22273,Female,White,2005,7,Theft,0,0,0,0,0,0,1,0,1,0,0
22274,Male,White,2005,7,Theft,3,4,3,1,0,0,0,0,6,0,0
31917,Female,Black,2005,7,Tresspass,2,1,2,2,0,0,1,0,4,0,0
31918,Male,Black,2005,7,Tresspass,2,7,3,2,0,0,5,0,32,0,0
31919,Female,Hispanic,2005,7,Tresspass,0,0,0,0,0,0,0,0,11,0,0
31920,Male,Hispanic,2005,7,Tresspass,3,5,4,2,0,0,2,0,37,0,0
31921,Female,Other,2005,7,Tresspass,0,0,0,0,0,0,0,0,1,0,0
31922,Male,Other,2005,7,Tresspass,0,0,0,0,0,0,0,0,3,0,0
31923,Unknown,Other,2005,7,Tresspass,0,1,0,0,0,0,1,0,1,0,0
31924,Male,White,2005,7,Tresspass,1,1,1,1,0,0,0,0,3,0,0
38981,Male,Black,2005,7,Weapon,0,9,2,0,0,1,2,0,11,0,0
38982,Male,Hispanic,2005,7,Weapon,0,9,1,0,0,0,3,0,13,0,2
38983,Male,White,2005,7,Weapon,0,4,0,0,0,0,0,0,4,0,0
399,Male,Black,2005,9,Assault,1,6,2,1,0,0,0,0,6,0,1
400,Male,Hispanic,2005,9,Assault,1,5,1,0,0,0,1,0,8,0,0
401,Unknown,Other,2005,9,Assault,0,2,0,0,0,0,0,0,2,0,0
402,Male,White,2005,9,Assault,0,0,0,0,0,0,0,0,4,0,0
7708,Female,Black,2005,9,Other,0,0,0,0,0,0,0,0,1,0,0
7709,Male,Black,2005,9,Other,0,2,0,0,0,0,0,0,14,0,0
7710,Male,Hispanic,2005,9,Other,0,1,0,0,0,0,0,0,8,0,0
7711,Unknown,Other,2005,9,Other,0,0,0,0,0,0,0,0,2,0,0
7712,Female,White,2005,9,Other,0,0,0,0,0,0,0,0,4,0,0
7713,Male,White,2005,9,Other,0,1,0,0,0,0,0,0,9,0,0
15065,Female,Black,2005,9,Substance,1,1,1,0,0,0,0,0,2,0,0
15066,Male,Black,2005,9,Substance,3,14,6,0,0,0,1,0,30,0,1
15067,Female,Hispanic,2005,9,Substance,1,1,1,0,0,0,0,0,1,0,0
15068,Male,Hispanic,2005,9,Substance,1,5,1,0,0,0,0,0,9,0,0
15069,Male,Other,2005,9,Substance,0,0,0,0,0,0,1,0,1,0,0
15070,Female,White,2005,9,Substance,0,0,0,0,0,0,0,0,1,0,0
15071,Male,White,2005,9,Substance,0,0,0,0,0,0,0,0,3,0,0
22395,Male,Black,2005,9,Theft,1,18,0,0,0,0,4,0,46,0,0
22396,Unknown,Black,2005,9,Theft,0,1,0,0,0,0,0,0,1,0,0
22397,Female,Hispanic,2005,9,Theft,0,1,0,0,0,0,0,0,3,0,0
22398,Male,Hispanic,2005,9,Theft,0,13,0,0,0,0,2,0,42,0,0
22399,Female,Other,2005,9,Theft,0,0,0,0,0,0,0,0,1,0,0
22400,Male,Other,2005,9,Theft,0,0,0,0,0,0,0,0,4,0,0
22401,Unknown,Other,2005,9,Theft,0,2,0,0,0,0,2,0,7,0,0
22402,Female,White,2005,9,Theft,0,0,0,0,0,0,0,0,1,0,0
22403,Male,White,2005,9,Theft,0,5,1,0,0,1,3,0,19,0,1
32041,Female,Black,2005,9,Tresspass,1,1,1,0,0,0,0,0,5,0,0
32042,Male,Black,2005,9,Tresspass,3,7,3,2,0,0,0,0,38,0,4
32043,Female,Hispanic,2005,9,Tresspass,2,2,1,1,0,0,0,0,10,0,0
32044,Male,Hispanic,2005,9,Tresspass,7,16,6,6,0,0,1,0,64,0,1
32045,Male,Other,2005,9,Tresspass,0,0,0,0,0,0,0,0,1,0,0
32046,Female,White,2005,9,Tresspass,0,0,0,0,0,0,0,0,3,0,0
32047,Male,White,2005,9,Tresspass,0,2,0,0,0,0,2,0,7,0,0
39079,Male,Black,2005,9,Weapon,1,14,2,2,0,0,3,0,15,0,1
39080,Male,Hispanic,2005,9,Weapon,1,14,1,1,1,0,9,0,13,0,2
39081,Unknown,Other,2005,9,Weapon,1,1,0,0,0,0,0,0,1,0,0
39082,Male,White,2005,9,Weapon,0,7,2,4,1,0,5,0,7,0,0
511,Female,Black,2005,10,Assault,0,0,0,0,0,0,0,0,1,0,0
512,Male,Black,2005,10,Assault,0,3,1,0,0,0,2,0,6,0,0
513,Unknown,Black,2005,10,Assault,0,0,0,0,0,0,0,0,1,0,0
514,Male,Hispanic,2005,10,Assault,2,4,2,2,0,0,1,0,5,0,0
515,Male,White,2005,10,Assault,0,5,2,0,0,0,2,0,5,0,0
7819,Male,Black,2005,10,Other,1,3,0,0,0,0,0,0,5,0,0
7820,Male,Hispanic,2005,10,Other,0,1,0,0,0,0,0,0,3,0,1
7821,Female,Other,2005,10,Other,0,0,0,0,0,0,0,0,1,0,1
7822,Female,White,2005,10,Other,1,0,1,0,0,0,0,0,1,0,0
7823,Male,White,2005,10,Other,0,1,1,0,0,0,0,0,2,0,0
15186,Female,Black,2005,10,Substance,0,0,0,0,0,0,0,0,1,0,0
15187,Male,Black,2005,10,Substance,2,6,3,2,0,0,3,0,17,0,1
15188,Female,Hispanic,2005,10,Substance,0,0,0,0,0,0,0,0,1,0,0
15189,Male,Hispanic,2005,10,Substance,1,10,1,1,0,0,3,0,12,0,0
15190,Male,White,2005,10,Substance,1,0,0,0,0,0,0,0,4,0,0
22531,Female,Black,2005,10,Theft,0,0,0,0,0,0,0,0,2,0,0
22532,Male,Black,2005,10,Theft,0,19,1,0,0,0,9,0,45,0,0
22533,Female,Hispanic,2005,10,Theft,0,0,0,0,0,0,0,0,2,0,0
22534,Male,Hispanic,2005,10,Theft,0,12,0,1,0,0,10,0,28,0,0
22535,Male,Other,2005,10,Theft,0,1,0,0,0,0,1,0,7,0,0
22536,Female,White,2005,10,Theft,0,0,0,0,0,0,0,0,1,0,0
22537,Male,White,2005,10,Theft,0,4,0,0,0,0,4,0,11,0,0
32168,Female,Black,2005,10,Tresspass,0,0,0,0,0,0,0,0,2,0,0
32169,Male,Black,2005,10,Tresspass,6,9,7,4,0,0,2,0,33,0,3
32170,Female,Hispanic,2005,10,Tresspass,2,2,2,1,0,0,2,0,4,0,0
32171,Male,Hispanic,2005,10,Tresspass,0,2,0,0,0,0,3,0,15,0,0
32172,Male,Other,2005,10,Tresspass,0,0,0,0,0,0,0,0,1,0,0
32173,Female,White,2005,10,Tresspass,0,0,0,0,0,0,0,0,4,0,0
32174,Male,White,2005,10,Tresspass,2,1,1,1,0,0,1,0,9,0,1
39188,Male,Black,2005,10,Weapon,1,15,2,0,0,0,4,0,16,0,0
39189,Male,Hispanic,2005,10,Weapon,0,11,0,0,0,0,4,0,13,0,1
39190,Female,Other,2005,10,Weapon,0,1,0,0,0,0,0,0,1,0,0
39191,Unknown,Other,2005,10,Weapon,0,0,0,0,0,0,0,0,1,0,0
39192,Female,White,2005,10,Weapon,0,0,0,0,0,0,0,0,1,0,1
39193,Male,White,2005,10,Weapon,0,3,0,0,0,0,1,0,5,0,1
611,Male,Black,2005,13,Assault,0,1,0,1,0,0,0,0,3,0,0
7915,Male,Black,2005,13,Other,0,2,1,0,0,0,1,0,2,0,0
7916,Male,Hispanic,2005,13,Other,0,0,0,0,0,0,0,0,1,0,0
7917,Male,Other,2005,13,Other,0,2,0,0,0,0,1,0,2,0,0
7918,Male,White,2005,13,Other,0,0,0,0,0,0,0,0,2,0,0
15285,Male,Black,2005,13,Substance,0,0,0,0,0,0,0,0,2,0,0
22651,Male,Black,2005,13,Theft,0,26,0,0,0,0,13,0,43,0,0
22652,Male,Hispanic,2005,13,Theft,0,13,1,0,0,0,3,0,22,0,0
22653,Female,Other,2005,13,Theft,0,1,0,0,0,0,1,0,1,0,1
22654,Male,Other,2005,13,Theft,0,1,1,0,0,0,1,0,8,0,0
22655,Unknown,Other,2005,13,Theft,0,1,0,0,0,0,0,0,1,0,0
22656,Female,White,2005,13,Theft,0,0,0,0,0,0,0,0,2,0,0
22657,Male,White,2005,13,Theft,0,2,0,0,0,0,1,0,4,0,0
32275,Male,Black,2005,13,Tresspass,2,3,2,2,0,0,0,0,9,0,0
32276,Female,Hispanic,2005,13,Tresspass,0,0,0,0,0,0,0,0,2,0,0
