"","Precinct","Population","Area","White","Black","Hisp","Other","Year","WhiteA","BlackA","HispA","OtherA","TotalA"
"1",1,66679,1.6222942931026,47231,1982,4676,10600,2005,8,25,12,2,47
"14",1,66679,1.6222942931026,47231,1982,4676,10600,2006,1,35,10,0,46
"15",1,66679,1.6222942931026,47231,1982,4676,10600,2007,11,78,21,7,117
"13",1,66679,1.6222942931026,47231,1982,4676,10600,2008,20,156,39,6,221
"9",1,66679,1.6222942931026,47231,1982,4676,10600,2009,15,163,45,15,238
"4",1,66679,1.6222942931026,47231,1982,4676,10600,2010,33,156,56,15,260
"5",1,66679,1.6222942931026,47231,1982,4676,10600,2011,27,135,45,8,215
"8",1,66679,1.6222942931026,47231,1982,4676,10600,2012,26,129,30,4,189
"3",1,66679,1.6222942931026,47231,1982,4676,10600,2013,22,43,21,7,93
"12",1,66679,1.6222942931026,47231,1982,4676,10600,2014,0,9,2,0,11
"7",1,66679,1.6222942931026,47231,1982,4676,10600,2015,0,4,0,0,4
"11",1,66679,1.6222942931026,47231,1982,4676,10600,2017,1,2,3,0,6
"10",1,66679,1.6222942931026,47231,1982,4676,10600,2018,4,16,6,0,26
"6",1,66679,1.6222942931026,47231,1982,4676,10600,2019,5,38,15,0,58
"2",1,66679,1.6222942931026,47231,1982,4676,10600,2020,8,23,7,0,38
"28",5,52568,0.621884421912021,10739,2299,5910,32754,2005,23,92,85,34,234
"25",5,52568,0.621884421912021,10739,2299,5910,32754,2006,43,123,104,39,309
"26",5,52568,0.621884421912021,10739,2299,5910,32754,2007,32,97,85,44,258
"22",5,52568,0.621884421912021,10739,2299,5910,32754,2008,27,113,84,62,286
"27",5,52568,0.621884421912021,10739,2299,5910,32754,2009,25,91,77,41,234
"16",5,52568,0.621884421912021,10739,2299,5910,32754,2010,28,127,117,68,340
"19",5,52568,0.621884421912021,10739,2299,5910,32754,2011,44,148,125,55,372
"17",5,52568,0.621884421912021,10739,2299,5910,32754,2012,34,120,82,68,304
"18",5,52568,0.621884421912021,10739,2299,5910,32754,2013,13,49,45,15,122
"23",5,52568,0.621884421912021,10739,2299,5910,32754,2014,7,30,22,1,60
"21",5,52568,0.621884421912021,10739,2299,5910,32754,2015,2,15,10,0,27
"30",5,52568,0.621884421912021,10739,2299,5910,32754,2017,4,15,25,7,51
"20",5,52568,0.621884421912021,10739,2299,5910,32754,2018,2,12,8,0,22
"24",5,52568,0.621884421912021,10739,2299,5910,32754,2019,2,22,7,0,31
"29",5,52568,0.621884421912021,10739,2299,5910,32754,2020,2,17,12,0,31
"37",6,62226,0.760844327786797,50468,1214,3781,5050,2005,43,120,74,15,252
"38",6,62226,0.760844327786797,50468,1214,3781,5050,2006,37,65,33,4,139
