Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius,Variable1,Variable2,Variable3
350,8/27/2019 12:03,bdturtlesxd,Sample2,Paired,4,OvalTrack,27,Gauss,Gauss,Gauss,1,19.73,100.38,3.74,8.75,19.66,-0.1,-0.1,-0.1,19.73,0,1500,0.05,1,2300,150,0.37,NA,NA,NA
351,8/27/2019 12:04,thegreatoutdoors,Sample2,Paired,2,OvalTrack,27,Gauss,Gauss,Gauss,1,19.82,100.11,3.76,8.77,19.82,-0.1,-0.1,-0.1,19.82,0,1500,0.05,1,2300,150,0.37,NA,NA,NA
352,8/27/2019 12:04,unkown2020,Sample2,Paired,5,OvalTrack,27,Gauss,Gauss,Gauss,1,19.83,101.22,3.74,8.71,19.43,14.46,15.55,21.66,19.83,0,1500,0.05,1,2300,150,0.37,NA,NA,NA
353,8/27/2019 12:04,ethan,Sample2,Paired,2,OvalTrack,27,Gauss,Gauss,Gauss,1,20.03,87.43,3.78,8.73,-1,-0.1,-0.1,-0.1,19.68,0.35,1500,0.05,1,2300,150,0.37,NA,NA,NA
354,8/27/2019 12:04,unkown2020,Sample2,Paired,4,OvalTrack,27,Gauss,Gauss,Gauss,1,20.39,92.13,3.74,10.01,-1,14.46,15.55,21.66,20.19,0.2,1500,0.05,1,2300,150,0.37,NA,NA,NA
355,8/27/2019 12:04,bshea,Sample2,Paired,6,OvalTrack,27,Gauss,Gauss,Gauss,1,20.81,91.88,3.76,8.71,-1,-0.1,-0.1,-0.1,20.07,0.74,1500,0.05,1,2300,150,0.37,NA,NA,NA
356,8/27/2019 12:04,rango,Sample2,Paired,2,OvalTrack,27,Gauss,Gauss,Gauss,1,21.4,87.08,4.63,11.35,-1,9.65,14.9,19.74,21.4,0,1700,0.05,1,2150,150,0.37,NA,NA,NA
357,8/27/2019 12:04,573156,Sample2,Paired,19,OvalTrack,27,Gauss,Gauss,Gauss,1,21.41,85.96,4.68,11.43,-1,9.71,14.91,19.73,21.26,0.14,1700,0.05,1,2150,150,0.37,NA,NA,NA
358,8/27/2019 12:14,swimit,Sample2,Paired,1,OvalTrack,27,Gauss,Gauss,Gauss,1,21.45,87.24,4.63,11.37,-1,9.71,14.95,19.8,21.45,0,1700,0.05,1,2150,150,0.37,NA,NA,NA
359,8/27/2019 12:04,cucaracha,Sample2,Paired,21,OvalTrack,27,Gauss,Gauss,Gauss,1,21.48,87.12,4.64,11.38,-1,9.8,14.97,19.84,21.48,0,1700,0.05,1,2150,150,0.37,NA,NA,NA
360,8/27/2019 12:04,573156,Sample2,Paired,15,OvalTrack,27,Gauss,Gauss,Gauss,1,21.5,86.53,4.64,11.38,-1,9.69,14.96,19.83,21.5,0,1700,0.05,1,2150,150,0.37,NA,NA,NA
361,8/27/2019 12:04,m,Sample2,Paired,25,OvalTrack,27,Gauss,Gauss,Gauss,1,21.51,86.87,4.69,11.38,-1,9.69,14.97,19.85,21.51,0,1700,0.05,1,2150,150,0.37,NA,NA,NA
362,8/27/2019 12:04,champion,Sample2,Paired,29,OvalTrack,27,Gauss,Gauss,Gauss,1,21.62,87.34,4.64,11.42,-1,9.81,15.09,19.97,21.62,0,1700,0.05,1,2150,150,0.37,NA,NA,NA
363,8/27/2019 12:04,573156,Sample2,Paired,12,OvalTrack,27,Gauss,Gauss,Gauss,1,21.66,85.52,4.68,11.39,-1,9.61,14.88,19.89,21.46,0.19,1700,0.05,1,2150,150,0.37,NA,NA,NA
