Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius,Variable1,Variable2,Variable3
148,8/27/2019 12:18,a,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,28.09,54.42,6.44,-1,-1,16.79,18.73,-1,26.01,2.08,1900,0.07,1,2500,150,0.43,NA,NA,NA
149,8/27/2019 12:08,a,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,26.26,55.63,4.48,-1,-1,15.24,16.64,-1,24.14,2.11,1500,0.11,1,2500,150,0.4,NA,NA,NA
313,8/29/2019 11:07,b,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,29.69,57.02,10.19,-1,-1,19.92,21.49,-1,28.04,1.64,1900,0.07,1,2500,150,0.43,NA,NA,NA
314,8/29/2019 11:09,b,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,24.13,56.74,4.23,-1,-1,14.26,15.68,-1,22.26,1.86,1500,0.11,1,2500,150,0.4,NA,NA,NA
239,8/27/2019 12:13,c,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,31.98,53.12,6.87,-1,-1,18.24,20.42,16.78,29.63,2.34,1900,0.07,1,2500,150,0.43,NA,NA,NA
240,8/27/2019 12:13,c,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,24.12,56.82,4.26,-1,-1,14.1,15.52,-1,22.58,1.53,1500,0.11,1,2500,150,0.4,NA,NA,NA
225,8/27/2019 12:12,d,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,26.1,54.92,6.2,-1,-1,15.67,17.47,-1,24.42,1.68,1900,0.07,1,2500,150,0.43,NA,NA,NA
226,8/27/2019 12:12,d,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,24.2,56.6,4.25,-1,-1,14.03,15.85,-1,22.46,1.73,1500,0.11,1,2500,150,0.4,NA,NA,NA
337,8/29/2019 11:12,e,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,29.31,53.96,7.65,-1,-1,18.43,19.94,-1,27.2,2.11,1900,0.07,1,2500,150,0.43,NA,NA,NA
338,8/29/2019 11:12,e,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,23.77,56.87,4.25,-1,-1,14.1,14.89,13.92,21.88,1.88,1500,0.11,1,2500,150,0.4,NA,NA,NA
282,8/29/2019 11:03,f,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,28.77,54.6,7.68,-1,-1,18.23,20,-1,26.82,1.95,1900,0.07,1,2500,150,0.43,NA,NA,NA
283,8/29/2019 11:04,f,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,23.85,56.73,4.3,-1,-1,14.16,15.96,-1,22.21,1.64,1500,0.11,1,2500,150,0.4,NA,NA,NA
318,8/29/2019 11:08,g,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,29.79,47.69,6.03,-1,-1,16.58,18.95,-1,27.49,2.3,1900,0.07,1,2500,150,0.43,NA,NA,NA
